SHIVA TRAVEL & MANPOWER — CITATION & GBP TRACKER,,,,,,,,,,
Last updated:,2026-04-30,,,,,,,,,
,,,,,,,,,,
HOW TO USE THIS SHEET,,,,,,,,,,
1. Section A is your single source of truth. Always copy-paste from here — never retype.,,,,,,,,,,
2. Section B is your GBP (Google Business Profile) checklist — match GBP to these values.,,,,,,,,,,
3. Section C is the citation tracker — fill in Status / Date / URL as you submit each one.,,,,,,,,,,
4. Sort Section C by "Priority" column (10 = do first) when working through it.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
SECTION A — BUSINESS MASTER DATA  (USE THIS EXACT TEXT EVERYWHERE),,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
,,,,,,,,,,
Field,Value,Notes / Where Used,,,,,,,,
Business Name,Shiva Travel & Manpower Consultants,Always include the ampersand,,,,,,,,
Display Name (long),Shiva Travel & Manpower Consultants Nakodar,For directories that allow location in name,,,,,,,,
Founder / Owner,Tarsem Lal,Founder & Managing Director,,,,,,,,
Founded,2002,~23 years in business,,,,,,,,
Address,"Golden Avenue, Near Sukhjeet Hospital, Jalandhar Road",Always use this exact phrasing,,,,,,,,
City,Nakodar,,,,,,,,,
District,Jalandhar,,,,,,,,,
State,Punjab,,,,,,,,,
Postal Code,144040,,,,,,,,,
Country,India,,,,,,,,,
Latitude,31.12,,,,,,,,,
Longitude,75.47,,,,,,,,,
Primary Phone (Office),+91-98148-20432,Use as main contact on every directory,,,,,,,,
WhatsApp Phone,+91-98153-58832,Use only where directory has separate WhatsApp field,,,,,,,,
Primary Email,info@shivatravelconsultant.in,The canonical business email,,,,,,,,
Founder Email,tlbhagat@gmail.com,Use for account login / owner-contact field,,,,,,,,
Canonical Domain,https://shivatravelconsultant.in,The .in domain — never use the .com,,,,,,,,
Business Hours,"Mon–Sat: 9:00 AM – 6:30 PM",Closed Sunday,,,,,,,,
Govt License Number,RA B-1794,MEA (Ministry of External Affairs) license — quote on every listing,,,,,,,,
Primary Category,Overseas Recruitment Agency,,,,,,,,,
Secondary Category #1,Travel Agency,Important — boosts ranking for "best travel agency" search,,,,,,,,
Secondary Category #2,Visa Consultant,,,,,,,,,
Secondary Category #3,Employment Agency,,,,,,,,,
Service Countries,"UAE, Saudi Arabia, Qatar, Kuwait, Bahrain, Poland, Romania, Croatia",,,,,,,,,
Service Cities,"Nakodar, Jalandhar, Kapurthala, Phagwara, Nawanshahr, Hoshiarpur",,,,,,,,,
Facebook,https://www.facebook.com/shivatravelnakodar/,,,,,,,,,
Instagram,https://www.instagram.com/shiva.travels.consultants/,,,,,,,,,
YouTube,https://www.youtube.com/@ShivaTravelNakodar,,,,,,,,,
,,,,,,,,,,
Description (Short — 160 chars),"MEA-licensed (RA B-1794) overseas recruitment agency in Nakodar Punjab. Placing skilled workers in Gulf & Europe since 2002. Walk-in office Mon–Sat.",For directory short description fields,,,,,,,,
Description (Long — 500 chars),"Government-licensed (MEA RA B-1794) recruitment & visa consultancy in Nakodar, Punjab. Since 2002, we have deployed 10,000+ workers to UAE, Saudi Arabia, Qatar, Kuwait, Bahrain, Poland, Romania, and Croatia. 98% visa success rate. Transparent charges with no hidden fees. Services: overseas placement, work visa processing, E-Migrate clearance, GAMCA medical, document attestation, pre-departure orientation. Walk-in office Mon–Sat 9 AM – 6:30 PM.",For directory long description fields,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
SECTION B — GOOGLE BUSINESS PROFILE (GBP) — CONFIGURATION CHECKLIST,,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
,,,,,,,,,,
GBP login: business.google.com,,,,,,,,,,
,,,,,,,,,,
GBP Field,What to Set / Verify,Status,Notes,,,,,,,
Business Name,Shiva Travel & Manpower Consultants,To Verify,Match exactly. Don't add keywords.,,,,,,,
Primary Category,Travel Agency,Active,Currently set; keeping for "best travel agency" search,,,,,,,
Secondary Category #1,Employment Agency,To Add,Add this if not already set,,,,,,,
Secondary Category #2,Visa Consultant,To Add,Add this if not already set,,,,,,,
Address,"Golden Avenue, Near Sukhjeet Hospital, Jalandhar Road, Nakodar, Punjab 144040",To Verify,Match site exactly,,,,,,,
Phone (Primary),+91-98148-20432,To Verify,,,,,,,,
Phone (Additional),+91-98153-58832 (WhatsApp),To Add,,,,,,,,
Website,https://shivatravelconsultant.in,To Verify,The .in domain,,,,,,,,
Hours — Monday,9:00 AM – 6:30 PM,Updated on site,Update GBP to match,,,,,,,
Hours — Tuesday,9:00 AM – 6:30 PM,Updated on site,Update GBP to match,,,,,,,
Hours — Wednesday,9:00 AM – 6:30 PM,Updated on site,Update GBP to match,,,,,,,
Hours — Thursday,9:00 AM – 6:30 PM,Updated on site,Update GBP to match,,,,,,,
Hours — Friday,9:00 AM – 6:30 PM,Updated on site,Update GBP to match,,,,,,,
Hours — Saturday,9:00 AM – 6:30 PM,Updated on site,Update GBP to match,,,,,,,
Hours — Sunday,Closed,To Verify,,,,,,,,
Description,Use Long Description from Section A,To Verify,750 char limit on GBP,,,,,,,
Service Areas,"Nakodar, Jalandhar, Kapurthala, Phagwara, Nawanshahr, Hoshiarpur",To Add,Add all 6 cities,,,,,,,
Photos — Logo,/logo.jpg from website,To Verify,,,,,,,,
Photos — Office Exterior,Add 3-5 from outside the office,To Add,,,,,,,,
Photos — Office Interior,Add 5-10 inside photos with clients/staff,To Add,,,,,,,,
Photos — Team,Add team photo with founder,To Add,,,,,,,,
Photos — Government Documents,Photo of MEA license RA B-1794 (blur sensitive),To Add,Huge trust signal,,,,,,,
Posts (Weekly),Use templates from gbp-post-templates.md,Ongoing,1-2 posts per week,,,,,,,
Q&A Section,Pre-seed 10 common questions and answers,To Do,From gbp-content-pack.md,,,,,,,
Reviews — Current,4.9 stars / 42 reviews,Active,Goal: +5-10 per month,,,,,,,
Reviews — Reply Rate,Reply to 100% of reviews,To Do,Templates in gbp-content-pack.md,,,,,,,
Booking Link,https://shivatravelconsultant.in/contactus,To Add,,,,,,,,
Attribute — Wheelchair accessible,Yes/No,To Verify,,,,,,,,
Attribute — Online appointments,Yes,To Add,,,,,,,,
Attribute — On-site services,Yes,To Add,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
SECTION C — CITATION TRACKER  (FILL IN AS YOU SUBMIT),,,,,,,,,,
═══════════════════════════════════════════════════════════════════════════════════════════════════════════════════,,,,,,,,,,
,,,,,,,,,,
#,Priority,Category,Platform,Submission URL,Cost,Govt/Trust,Status,Date Submitted,Listing URL,Notes
,,,,,,,,,,
,,,── GOVERNMENT & TRUST (DO FIRST) ──,,,,,,,,
1,10,Govt — National,MEA eMigrate Portal,https://emigrate.gov.in,Free,YES,Pending,,,Mandatory for overseas recruitment. Quote license RA B-1794.
2,10,Govt — National,National Career Service (NCS),https://www.ncs.gov.in,Free,YES,Pending,,,Govt of India job portal. Free employer profile.
3,10,Govt — National,Udyam Registration (MSME),https://udyamregistration.gov.in,Free,YES,Pending,,,Free MSME certificate. Required for govt tenders.
4,9,Govt — National,GeM (Govt e-Marketplace),https://gem.gov.in,Free,YES,Pending,,,B2G marketplace. Strong trust badge.
5,9,Govt — National,Skill India Portal / NSDC,https://www.skillindia.gov.in,Free,YES,Pending,,,Tag your firm to NSDC for credibility.
6,9,Govt — Punjab,Punjab Employment Generation (PGRKAM),https://pgrkam.com,Free,YES,Pending,,,Punjab state employment portal.
7,8,Govt — Punjab,Punjab State Skill Development Mission,https://www.psdm.gov.in,Free,YES,Pending,,,State skill development body.
